iter	Passed	Remaining
746	5308	65752
747	5315	65747
748	5322	65742
749	5329	65731
750	5336	65720
751	5343	65717
752	5351	65718
753	5357	65698
754	5364	65692
755	5371	65685
756	5378	65669
757	5385	65667
758	5392	65656
759	5399	65644
760	5406	65640
761	5413	65627
762	5419	65610
763	5427	65611
764	5434	65604
765	5440	65589
766	5463	65771
767	5470	65755
768	5476	65740
769	5484	65742
770	5491	65738
771	5500	65744
772	5507	65746
773	5515	65749
774	5529	65819
775	5541	65866
776	5553	65914
777	5563	65946
778	5574	65983
779	5587	66052
780	5598	66082
781	5608	66110
782	5617	66129
783	5628	66160
784	5634	66146
785	5641	66132
786	5648	66128
787	5652	66079
788	5656	66035
789	5663	66021
790	5667	65979
791	5673	65963
792	5680	65950
793	5689	65964
794	5696	65955
795	5703	65950
796	5710	65945
797	5717	65931
798	5724	65925
799	5731	65913
800	5739	65910
801	5744	65887
802	5748	65837
803	5754	65815
804	5758	65772
805	5764	65751
806	5770	65729
807	5776	65709
808	5782	65693
809	5788	65672
810	5794	65651
811	5800	65629
812	5806	65609
813	5813	65602
814	5819	65586
815	5826	65579
816	5834	65576
817	5841	65567
818	5848	65565
819	5856	65560
820	5862	65546
821	5869	65536
822	5875	65516
823	5882	65504
824	5887	65477
825	5894	65464
826	5901	65462
827	5909	65457
828	5915	65442
829	5919	65400
830	5927	65406
831	5943	65490
832	5950	65483
833	5957	65475
834	5963	65454
835	5969	65434
836	5975	65415
837	5981	65394
838	5987	65376
839	5993	65355
840	5999	65334
841	6004	65308
842	6011	65294
843	6016	65272
844	6022	65253
845	6028	65232
846	6034	65208
847	6040	65196
848	6046	65177
849	6052	65157
850	6056	65107
851	6061	65083
852	6067	65063
853	6072	65038
854	6078	65018
855	6085	65002
856	6091	64984
857	6097	64973
858	6103	64951
859	6109	64934
860	6115	64912
861	6121	64889
862	6126	64862
863	6131	64837
864	6138	64826
865	6144	64810
866	6150	64791
867	6155	64765
868	6161	64745
869	6164	64696
870	6170	64671
871	6176	64655
872	6182	64633
873	6187	64606
874	6192	64581
875	6197	64555
876	6201	64505
877	6206	64484
878	6212	64460
879	6217	64437
880	6223	64414
881	6228	64385
882	6233	64360
883	6238	64337
884	6244	64313
885	6247	64264
886	6252	64238
887	6257	64214
888	6263	64188
889	6268	64166
890	6274	64141
891	6279	64121
892	6286	64106
893	6291	64081
894	6297	64064
895	6303	64052
896	6310	64042
897	6316	64022
898	6321	63997
899	6326	63971
900	6331	63943
901	6337	63924
902	6342	63896
903	6347	63870
904	6353	63850
905	6358	63828
906	6364	63803
907	6369	63781
908	6375	63760
909	6380	63736
910	6385	63710
911	6390	63685
912	6397	63669
913	6403	63652
914	6408	63628
915	6414	63608
916	6419	63583
917	6424	63556
918	6429	63534
919	6432	63489
920	6435	63443
921	6441	63419
922	6446	63398
923	6452	63376
924	6457	63356
925	6463	63338
926	6469	63316
927	6474	63293
928	6479	63271
929	6485	63255
930	6491	63237
931	6497	63216
932	6503	63198
933	6509	63185
934	6514	63163
935	6521	63153
936	6527	63131
937	6532	63113
938	6539	63100
939	6545	63089
940	6551	63074
941	6558	63062
942	6563	63042
943	6569	63026
944	6575	63005
945	6581	62986
946	6586	62966
947	6592	62946
948	6597	62927
949	6603	62908
950	6608	62885
951	6614	62868
952	6620	62848
953	6625	62827
954	6632	62813
955	6638	62797
956	6643	62777
957	6649	62761
958	6653	62721
959	6658	62700
960	6663	62679
961	6669	62658
962	6674	62638
963	6680	62619
964	6686	62598
965	6691	62582
966	6698	62572
967	6704	62560
968	6709	62534
969	6715	62514
970	6720	62492
971	6726	62475
972	6734	62476
973	6740	62459
974	6746	62452
975	6752	62433
976	6757	62409
977	6763	62391
978	6768	62367
979	6773	62342
980	6778	62323
981	6784	62303
982	6789	62281
983	6795	62268
984	6801	62245
985	6811	62270
986	6822	62304
987	6829	62298
988	6835	62280
989	6841	62263
990	6847	62246
991	6852	62222
992	6857	62201
993	6862	62178
994	6867	62156
995	6872	62132
996	6878	62111
997	6883	62086
998	6888	62066
999	6892	62033
1000	6898	62016
1001	6901	61978
1002	6907	61965
1003	6913	61949
1004	6919	61933
1005	6926	61922
1006	6932	61912
1007	6937	61888
1008	6942	61867
1009	6948	61849
1010	6953	61825
1011	6959	61809
1012	6964	61787
1013	6970	61773
1014	6974	61741
1015	6980	61722
1016	6986	61708
1017	6991	61691
1018	6998	61677
1019	7007	61697
1020	7015	61692
1021	7023	61699
1022	7031	61698
1023	7037	61688
1024	7045	61693
1025	7053	61690
1026	7061	61693
1027	7068	61691
1028	7074	61679
1029	7080	61662
1030	7086	61649
1031	7093	61645
1032	7101	61645
1033	7108	61636
1034	7115	61630
1035	7122	61629
1036	7129	61624
1037	7138	61631
1038	7144	61616
1039	7150	61604
1040	7156	61592
1041	7164	61592
1042	7170	61581
1043	7174	61544
1044	7180	61530
1045	7185	61511
1046	7191	61497
1047	7198	61491
1048	7204	61478
1049	7211	61470
1050	7216	61450
1051	7223	61440
1052	7231	61440
1053	7237	61431
1054	7243	61418
1055	7250	61407
1056	7256	61391
1057	7262	61379
1058	7268	61369
1059	7274	61356
1060	7281	61345
1061	7287	61332
1062	7291	61299
1063	7297	61287
1064	7304	61284
1065	7313	61291
1066	7349	61530
1067	7359	61546
